
GS_CONFIG: Reading configuration from file speedtest_ba.cfg
GS_CONFIG: Executing command CONNECT(master.out,memoryport,)
GS_CONFIG: Binding initiator to target: master.out(memoryport)
GS_CONFIG: Configuring value of param [size] in module [memory] to [0x200000]
GS_CONFIG: Configuring value of param [clk_period] in module [memory] to [10]
GS_CONFIG: Configuring value of param [write_ws] in module [memory] to [7]
GS_CONFIG: Configuring value of param [read_ws] in module [memory] to [11]
GS_CONFIG: Configuring value of param [init_size] in module [master] to [0x100000]
GS_CONFIG: Configuring value of param [write_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [read_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [write_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [read_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [write_count] in module [master] to [100000]
GS_CONFIG: Configuring value of param [read_count] in module [master] to [0]
GS_CONFIG: Configuring value of param [loops] in module [master] to [100]

Speedtest running forever

write (# transactions, bytes, us, cycles), 100000, 82944, 1392088, 5192
write (# transactions, bytes, us, cycles), 100000, 83968, 1407258, 5256
write (# transactions, bytes, us, cycles), 100000, 84992, 1420045, 5320
write (# transactions, bytes, us, cycles), 100000, 86016, 1433417, 5384
write (# transactions, bytes, us, cycles), 100000, 87040, 1445857, 5448
write (# transactions, bytes, us, cycles), 100000, 88064, 1461804, 5512
write (# transactions, bytes, us, cycles), 100000, 89088, 1477616, 5576
write (# transactions, bytes, us, cycles), 100000, 90112, 1487719, 5640
write (# transactions, bytes, us, cycles), 100000, 91136, 1501129, 5704
write (# transactions, bytes, us, cycles), 100000, 92160, 1514296, 5768
write (# transactions, bytes, us, cycles), 100000, 93184, 1534254, 5832
write (# transactions, bytes, us, cycles), 100000, 94208, 1549984, 5896
write (# transactions, bytes, us, cycles), 100000, 95232, 1556374, 5960
write (# transactions, bytes, us, cycles), 100000, 96256, 1571266, 6024
write (# transactions, bytes, us, cycles), 100000, 97280, 1583661, 6088
write (# transactions, bytes, us, cycles), 100000, 98304, 1600147, 6152
write (# transactions, bytes, us, cycles), 100000, 99328, 1610158, 6216
write (# transactions, bytes, us, cycles), 100000, 100352, 1624115, 6280
write (# transactions, bytes, us, cycles), 100000, 101376, 1637930, 6344
