
GS_CONFIG: Reading configuration from file speedtest_simplebus_pv.cfg
GS_CONFIG: Executing command BUS(bus,SimpleBus,10,SC_NS,)
GS_CONFIG: Creating bus [bus] with type SimpleBus and clock period 10 ns
GS_CONFIG: Executing command CONNECT(master.out,bus.tport,bus.iport,memoryport,)
GS_CONFIG: Binding initiator to router: master.out(bus.tport)
GS_CONFIG: Binding router to target: bus.iport(memoryport)
GS_CONFIG: Configuring value of param [size] in module [memory] to [0x200000]
GS_CONFIG: Configuring value of param [clk_period] in module [memory] to [10]
GS_CONFIG: Configuring value of param [write_ws] in module [memory] to [7]
GS_CONFIG: Configuring value of param [read_ws] in module [memory] to [11]
GS_CONFIG: Configuring value of param [init_size] in module [master] to [0x100000]
GS_CONFIG: Configuring value of param [write_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [read_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [write_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [read_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [write_count] in module [master] to [100000]
GS_CONFIG: Configuring value of param [read_count] in module [master] to [0]
GS_CONFIG: Configuring value of param [loops] in module [master] to [100]
GS_CONFIG: Configuring value of param [simulation_mode] in module [master.out] to [1]

Speedtest running forever

write (# transactions, bytes, us, cycles), 100000, 78848, 1131760, 4936
write (# transactions, bytes, us, cycles), 100000, 79872, 1146096, 5000
write (# transactions, bytes, us, cycles), 100000, 80896, 1157832, 5064
write (# transactions, bytes, us, cycles), 100000, 81920, 1172110, 5128
write (# transactions, bytes, us, cycles), 100000, 82944, 1187655, 5192
write (# transactions, bytes, us, cycles), 100000, 83968, 1198027, 5256
write (# transactions, bytes, us, cycles), 100000, 84992, 1209930, 5320
write (# transactions, bytes, us, cycles), 100000, 86016, 1224245, 5384
write (# transactions, bytes, us, cycles), 100000, 87040, 1239030, 5448
write (# transactions, bytes, us, cycles), 100000, 88064, 1250962, 5512
write (# transactions, bytes, us, cycles), 100000, 89088, 1262524, 5576
write (# transactions, bytes, us, cycles), 100000, 90112, 1276985, 5640
write (# transactions, bytes, us, cycles), 100000, 91136, 1291787, 5704
write (# transactions, bytes, us, cycles), 100000, 92160, 1304313, 5768
write (# transactions, bytes, us, cycles), 100000, 93184, 1317847, 5832
write (# transactions, bytes, us, cycles), 100000, 94208, 1330909, 5896
write (# transactions, bytes, us, cycles), 100000, 95232, 1343371, 5960
write (# transactions, bytes, us, cycles), 100000, 96256, 1357340, 6024
write (# transactions, bytes, us, cycles), 100000, 97280, 1369254, 6088
write (# transactions, bytes, us, cycles), 100000, 98304, 1383930, 6152
write (# transactions, bytes, us, cycles), 100000, 99328, 1397896, 6216
write (# transactions, bytes, us, cycles), 100000, 100352, 1410667, 6280
write (# transactions, bytes, us, cycles), 100000, 101376, 1421796, 6344
